"","index","date","week","weekday","area","count","rabate","price","operator","driver","delivery_min","temperature","wine_ordered","wine_delivered","wrongpizza","quality"
"90",90,2014-03-02,9,7,"Camden",4,TRUE,46.764,"Allanah","Farmer",10.7,25.85,0,0,FALSE,"low"
"91",91,2014-03-03,10,1,"Brent",2,FALSE,29.98,"Allanah","Carter",12.1,27,0,0,FALSE,"low"
"92",92,2014-03-03,10,1,"Brent",3,FALSE,38.97,"Allanah","Carter",28.8,64.8,0,0,FALSE,"high"
"93",93,2014-03-03,10,1,"Brent",4,TRUE,51.264,"Allanah","Hunter",24,33.9,0,0,FALSE,"low"
"94",94,2014-03-03,10,1,NA,4,TRUE,60.264,"Maria","Carter",31.8,58.2,0,0,FALSE,"high"
"95",95,2014-03-03,10,1,"Brent",2,FALSE,29.98,"Maria","Carter",13.2,62.5,0,0,FALSE,"high"
"96",96,2014-03-03,10,1,"Brent",5,TRUE,64.755,"Maria","Carter",26.6,64.7,0,0,FALSE,"high"
"97",97,2014-03-03,10,1,"Brent",3,FALSE,44.97,"Allanah","Carter",14,36.7,0,0,FALSE,"medium"
"98",98,2014-03-03,10,1,"Westminster",2,FALSE,26.98,"Maria","Miller",26.5,61.3,0,0,FALSE,"high"
"99",99,2014-03-03,10,1,"Brent",5,TRUE,59.355,"Maria","Carter",32,64.6,0,0,FALSE,NA
"100",100,2014-03-03,10,1,"Westminster",2,FALSE,54.63,"Maria","Miller",29.5,62.9,1,0,FALSE,"high"
"101",101,2014-03-03,10,1,"Brent",6,TRUE,108.027,"Maria","Carter",29.8,60.2,1,1,FALSE,"high"
"102",102,2014-03-03,10,1,"Camden",4,TRUE,53.964,"Allanah","Miller",25.2,26.15,0,0,TRUE,"low"
"103",103,2014-03-03,10,1,"Westminster",1,FALSE,13.99,"Maria","Miller",17.6,34.4,0,0,FALSE,"high"
"104",104,2014-03-03,10,1,"Camden",3,FALSE,43.97,"Allanah","Miller",9.5,55.9,0,0,FALSE,NA
"105",105,2014-03-03,10,1,"Camden",4,TRUE,46.764,"Maria","Carter",33.8,61,0,0,FALSE,"high"
"106",106,2014-03-03,10,1,"Brent",6,TRUE,76.446,"Maria","Carter",21,60.4,0,0,FALSE,"high"
"107",107,2014-03-03,10,1,"Camden",3,FALSE,39.97,"Maria","Miller",27.9,33.3,0,0,FALSE,"high"
"108",108,2014-03-03,10,1,"Brent",5,TRUE,62.955,"Maria","Hunter",10.2,61.5,0,0,TRUE,"high"
"109",109,2014-03-03,10,1,"Brent",2,FALSE,31.98,"Allanah","Hunter",10.3,62.9,0,0,FALSE,"high"
"110",110,2014-03-03,10,1,"Brent",4,TRUE,53.964,"Allanah","Hunter",22.2,50.4,0,0,FALSE,NA
"111",111,2014-03-03,10,1,"Brent",4,TRUE,50.364,"Allanah","Carter",29.6,46.7,0,0,FALSE,"medium"
"112",112,2014-03-03,10,1,"Brent",1,FALSE,16.99,"Maria","Carter",11.7,60.5,0,0,TRUE,"high"
"113",113,2014-03-03,10,1,"Brent",2,FALSE,25.98,"Maria","Carter",26.5,61.8,0,0,FALSE,"high"
"114",114,2014-03-03,10,1,"Camden",3,FALSE,42.97,"Maria","Carter",32.2,NA,0,0,FALSE,"high"
"115",115,2014-03-03,10,1,"Brent",1,FALSE,12.99,"Maria","Miller",23.6,34.1,0,0,FALSE,"high"
"116",116,2014-03-03,10,1,"Brent",3,FALSE,36.97,"Maria","Hunter",14.5,60.9,0,0,FALSE,"high"
"117",117,2014-03-04,10,2,"Brent",3,TRUE,31.176,"Maria","Carter",24.4,61.1,0,0,FALSE,"high"
"118",118,2014-03-04,10,2,"Brent",4,TRUE,41.7312,"Maria","Hunter",12.2,61.3,0,0,FALSE,"high"
"119",119,2014-03-04,10,2,"Brent",5,TRUE,51.084,"Allanah","Hunter",13.7,36.6,0,0,FALSE,"medium"
"120",120,2014-03-04,10,2,"Brent",2,TRUE,23.184,"Allanah","Carter",11.5,63.6,0,0,FALSE,"high"
"121",121,2014-03-04,10,2,"Westminster",4,TRUE,38.8512,"Allanah","Miller",11.7,54.1,0,0,FALSE,"high"
"122",122,2014-03-04,10,2,"Brent",2,TRUE,24.784,"Allanah","Carter",26.4,44,0,0,FALSE,"medium"
"123",123,2014-03-04,10,2,"Camden",2,TRUE,49.856,"Allanah","Carter",10.2,63.7,1,1,FALSE,"high"
"124",124,2014-03-04,10,2,"Brent",4,TRUE,38.8512,"Maria","Carter",35.3,30.7,0,0,FALSE,"medium"
"125",125,2014-03-04,10,2,"Brent",5,TRUE,49.644,"Maria","Hunter",14.3,35.5,0,0,FALSE,NA
"126",126,2014-03-04,10,2,"Brent",3,TRUE,28.776,"Allanah","Carter",20.7,62.6,0,0,FALSE,NA
"127",127,2014-03-04,10,2,"Camden",4,TRUE,40.2912,"Maria","Miller",9.8,61,0,0,FALSE,"high"
"128",128,2014-03-04,10,2,"Brent",3,TRUE,28.776,"Maria","Carter",32,57.9,0,0,FALSE,"high"
"129",129,2014-03-04,10,2,"Brent",5,TRUE,53.244,"Allanah","Carter",26,62.4,0,0,FALSE,"high"
"130",130,2014-03-04,10,2,"Brent",NA,NA,NA,"Maria","Hunter",19.1,60.9,NA,NA,TRUE,"high"
"131",131,2014-03-04,10,2,"Westminster",2,TRUE,49.456,"Maria","Miller",31.8,62.9,1,0,FALSE,"high"
"132",132,2014-03-04,10,2,"Westminster",6,TRUE,58.9968,"Maria","Miller",34.9,60.9,0,0,TRUE,"high"
"133",133,2014-03-04,10,2,"Brent",1,TRUE,9.592,"Allanah","Carter",21,48.8,0,0,FALSE,"high"
"134",134,NA,NA,NA,"Brent",4,TRUE,41.7312,"Maria","Carter",23.8,63.2,0,0,FALSE,NA
"135",135,2014-03-04,10,2,"Brent",3,TRUE,33.576,"Allanah","Miller",25.4,48.1,0,0,FALSE,"high"
"136",136,2014-03-04,10,2,"Brent",2,TRUE,20.784,"Allanah","Carter",23.2,62.2,0,0,FALSE,"high"
"137",137,2014-03-05,10,3,"Camden",5,TRUE,55.755,"Allanah","Farmer",11.4,57.9,0,0,FALSE,"high"
"138",138,2014-03-05,10,3,"Camden",3,FALSE,33.97,"Allanah","Taylor",24.3,39,0,0,FALSE,"medium"
"139",139,2014-03-05,10,3,"Brent",4,TRUE,53.064,"Allanah","Taylor",22.5,51.8,0,0,FALSE,"high"
"140",140,2014-03-05,10,3,"Camden",5,TRUE,85.059,"Maria","Taylor",31.1,26.25,1,1,FALSE,"medium"
"141",141,2014-03-05,10,3,"Westminster",3,FALSE,38.97,"Allanah","Taylor",26,29.6,0,0,FALSE,"low"
"142",142,2014-03-05,10,3,"Brent",3,FALSE,39.97,"Allanah","Taylor",20.1,20.35,0,0,FALSE,"low"
"143",143,2014-03-05,10,3,"Camden",2,FALSE,24.98,"Allanah","Taylor",29,26.75,0,0,FALSE,"low"
"144",144,2014-03-05,10,3,"Camden",4,TRUE,65.241,"Maria","Farmer",15.4,28.95,1,0,FALSE,NA
"145",145,2014-03-05,10,3,"Camden",5,TRUE,62.055,"Maria","Taylor",34.2,24.9,0,0,FALSE,"medium"
"146",146,2014-03-05,10,3,"Camden",2,FALSE,27.98,"Allanah",NA,26.2,26.85,0,0,FALSE,"low"
"147",147,2014-03-05,10,3,"Brent",3,FALSE,40.97,"Allanah","Carter",32.5,50.4,0,0,FALSE,"high"
"148",148,2014-03-05,10,3,"Camden",3,FALSE,46.97,"Maria","Taylor",36.2,24.4,0,0,FALSE,"medium"
"149",149,2014-03-05,10,3,"Westminster",5,TRUE,56.655,"Maria","Farmer",24.6,56.7,0,0,FALSE,"high"
"150",150,2014-03-05,10,3,"Westminster",4,TRUE,47.664,"Allanah","Carter",36.3,45.7,0,0,FALSE,"medium"
"151",151,2014-03-05,10,3,"Camden",3,FALSE,45.97,"Maria","Taylor",25.2,53.8,0,0,FALSE,"high"
"152",152,2014-03-05,10,3,"Brent",4,TRUE,71.172,"Allanah","Carter",22.6,39.8,1,1,FALSE,"medium"
"153",153,2014-03-05,10,3,"Camden",2,FALSE,65.24,"Allanah","Taylor",37.7,28.2,1,1,FALSE,"low"
"154",154,2014-03-05,10,3,"Camden",3,FALSE,38.97,"Maria","Farmer",30.1,51.7,0,0,FALSE,"high"
"155",155,2014-03-05,10,3,"Camden",6,TRUE,80.046,"Maria","Carter",34.8,49,0,0,FALSE,NA
"156",156,2014-03-05,10,3,"Camden",3,FALSE,37.97,"Allanah","Farmer",22.4,38.8,0,0,FALSE,"medium"
"157",157,2014-03-05,10,3,"Brent",4,TRUE,48.564,"Maria","Carter",21.4,57.5,0,0,TRUE,NA
"158",158,2014-03-05,10,3,"Brent",1,FALSE,49.63,"Maria","Carter",18.3,26.6,1,1,FALSE,"medium"
"159",159,2014-03-05,10,3,"Brent",3,FALSE,83.74,"Allanah",NA,12.6,56.6,1,1,FALSE,NA
"160",160,2014-03-05,10,3,"Brent",4,TRUE,51.264,"Maria","Carter",23.1,26.45,0,0,TRUE,"low"
"161",161,2014-03-05,10,3,"Brent",6,TRUE,70.146,"Maria","Carter",28.8,54.7,0,0,FALSE,NA
"162",162,2014-03-05,10,3,"Camden",4,TRUE,47.664,"Maria","Farmer",9.7,62.7,0,0,FALSE,"high"
"163",163,2014-03-05,10,3,"Westminster",7,TRUE,79.137,"Maria","Taylor",25.9,59.8,0,0,FALSE,NA
"164",164,2014-03-05,10,3,"Camden",5,TRUE,62.055,"Maria","Taylor",40,24.55,0,0,FALSE,"medium"
"165",165,2014-03-05,10,3,"Westminster",2,FALSE,29.98,"Allanah","Taylor",11.8,29.15,0,0,FALSE,"low"
"166",166,2014-03-05,10,3,"Brent",2,FALSE,26.98,"Maria","Carter",31.9,47.7,0,0,FALSE,NA
"167",167,2014-03-05,10,3,"Camden",3,FALSE,37.97,"Allanah","Farmer",14.5,56.5,0,0,FALSE,"high"
"168",168,2014-03-05,10,3,"Camden",4,TRUE,52.164,"Maria","Farmer",17.5,30.05,0,0,FALSE,NA
"169",169,2014-03-05,10,3,"Brent",1,FALSE,11.99,"Maria","Farmer",13.3,56.7,0,0,TRUE,NA
"170",170,2014-03-06,10,4,"Westminster",3,FALSE,39.97,"Maria","Carpenter",47.9,36.9,0,0,FALSE,NA
"171",171,2014-03-06,10,4,"Brent",NA,NA,NA,"Rhonda","Carter",30.6,24,NA,NA,FALSE,"low"
"172",172,2014-03-06,10,4,"Brent",1,FALSE,11.99,"Rhonda","Carter",24.7,50.2,0,0,FALSE,"medium"
"173",173,2014-03-06,10,4,"Brent",6,TRUE,66.546,"Maria","Carter",18.8,56.6,0,0,FALSE,"high"
"174",174,2014-03-06,10,4,"Camden",6,TRUE,81.846,"Maria","Farmer",19.3,52.8,0,0,TRUE,"high"
"175",175,2014-03-06,10,4,"Brent",3,FALSE,43.97,"Rhonda","Carter",11.7,57.2,0,0,FALSE,NA
"176",176,2014-03-06,10,4,"Brent",1,FALSE,15.99,"Maria","Carter",13.9,55.6,0,0,FALSE,"high"
"177",177,2014-03-06,10,4,"Camden",3,FALSE,44.97,"Maria","Farmer",11.3,56.8,0,0,TRUE,NA
"178",178,2014-03-06,10,4,"Camden",6,TRUE,68.346,"Rhonda","Farmer",13.7,58.4,0,0,FALSE,"high"
"179",179,2014-03-06,10,4,"Brent",6,TRUE,68.346,"Rhonda","Farmer",12.4,55.5,0,0,FALSE,"medium"
"180",180,2014-03-06,10,4,"Camden",4,TRUE,81.657,"Rhonda","Carpenter",23.4,26.05,1,1,FALSE,"low"
"181",181,2014-03-06,10,4,"Brent",4,TRUE,43.164,"Rhonda","Carter",12.4,50.3,0,0,FALSE,"medium"
"182",182,2014-03-06,10,4,"Brent",3,FALSE,41.97,"Rhonda","Carter",20.6,26.7,0,0,FALSE,NA
"183",183,2014-03-06,10,4,"Camden",6,TRUE,72.846,"Maria","Farmer",21.2,53.4,0,0,FALSE,NA
"184",184,2014-03-06,10,4,"Camden",3,FALSE,40.97,"Maria","Farmer",22.9,26.95,0,0,NA,"medium"
"185",185,2014-03-06,10,4,"Brent",4,TRUE,53.964,"Rhonda","Carpenter",34.2,49.2,0,0,FALSE,"medium"
"186",186,2014-03-06,10,4,"Camden",3,FALSE,42.97,"Maria","Farmer",23.3,25.55,0,0,TRUE,"low"
"187",187,2014-03-06,10,4,"Brent",3,FALSE,42.97,NA,"Farmer",10.8,55.3,0,0,FALSE,NA
"188",188,2014-03-06,10,4,"Brent",5,TRUE,56.655,"Rhonda","Carter",32.8,44.2,0,0,FALSE,"medium"
"189",189,2014-03-06,10,4,"Camden",5,TRUE,65.655,"Rhonda","Farmer",16.6,51.8,0,0,FALSE,"medium"
"190",190,2014-03-06,10,4,NA,1,FALSE,12.99,"Maria","Carpenter",36.7,22.1,0,0,FALSE,"medium"
"191",191,2014-03-06,10,4,"Brent",5,TRUE,56.655,"Maria","Farmer",21.7,54.9,0,0,TRUE,"high"
"192",192,2014-03-06,10,4,"Westminster",3,FALSE,74.28,"Rhonda","Carpenter",31.7,45.4,1,1,FALSE,"medium"
"193",193,2014-03-06,10,4,"Camden",4,TRUE,45.864,"Rhonda","Carter",43,40.7,0,0,FALSE,"low"
"194",194,2014-03-06,10,4,"Camden",3,FALSE,44.97,"Maria","Farmer",20.6,54.1,0,0,FALSE,NA
"195",195,2014-03-06,10,4,"Camden",2,FALSE,26.98,"Maria","Carter",45.2,38.8,0,0,TRUE,"medium"
"196",196,2014-03-06,10,4,"Westminster",3,FALSE,90.21,"Maria","Carpenter",20.8,56.7,1,1,FALSE,"high"
"197",197,2014-03-06,10,4,"Brent",5,TRUE,61.155,"Maria","Carter",12.8,57.2,0,0,FALSE,"high"
"198",198,2014-03-06,10,4,"Westminster",1,FALSE,55.57,"Rhonda","Carpenter",36.8,42.2,1,1,FALSE,"low"
"199",199,2014-03-06,10,4,"Brent",5,TRUE,61.155,"Maria","Carter",14.3,56.6,0,0,FALSE,NA
"200",200,2014-03-06,10,4,NA,2,FALSE,28.98,"Maria","Carter",12.4,60.3,0,0,TRUE,NA
"201",201,2014-03-06,10,4,"Westminster",6,TRUE,71.046,"Rhonda","Carpenter",34.7,44.8,0,0,FALSE,"medium"
"202",202,2014-03-06,10,4,"Westminster",2,FALSE,25.98,"Maria","Carpenter",39.8,21.3,0,0,FALSE,"medium"
"203",203,2014-03-06,10,4,NA,2,FALSE,26.98,"Rhonda","Carter",16.9,52.2,0,0,FALSE,"medium"
"204",204,2014-03-06,10,4,"Brent",7,TRUE,87.237,"Maria","Carter",21.6,25.2,0,0,FALSE,"medium"
"205",205,2014-03-06,10,4,"Camden",7,TRUE,85.437,"Maria","Farmer",29.1,51.3,0,0,FALSE,"high"
"206",206,2014-03-06,10,4,"Westminster",7,TRUE,134.334,"Maria","Carpenter",47.7,21,1,1,FALSE,"medium"
"207",207,2014-03-06,10,4,"Westminster",6,TRUE,106.641,"Rhonda","Carpenter",32.3,52.1,1,1,FALSE,"medium"
"208",208,2014-03-06,10,4,"Westminster",7,TRUE,82.737,"Rhonda","Carpenter",44.7,42.2,0,0,FALSE,"low"
"209",209,2014-03-07,10,5,"Brent",6,TRUE,64.746,"Rhonda","Carter",29.8,50.2,0,0,FALSE,"medium"
"210",210,2014-03-07,10,5,"Camden",1,FALSE,10.99,"Rhonda","Carter",37.7,38.6,0,0,FALSE,"low"
"211",211,2014-03-07,10,5,"Brent",2,FALSE,25.98,"Maria","Carpenter",19.2,25.8,0,0,FALSE,"medium"
"212",212,2014-03-07,10,5,"Brent",3,FALSE,42.97,"Maria","Carter",27.7,47.4,0,0,FALSE,NA
"213",213,2014-03-07,10,5,"Westminster",6,TRUE,67.446,"Maria","Miller",43.4,39.8,0,0,FALSE,"high"
"214",214,2014-03-07,10,5,"Brent",6,TRUE,71.046,"Rhonda","Carter",15.3,50.9,0,0,FALSE,"medium"
"215",215,2014-03-07,10,5,"Camden",3,FALSE,42.97,"Maria","Carter",36.8,41.5,0,0,FALSE,"high"
"216",216,2014-03-07,10,5,"Westminster",6,TRUE,76.446,"Maria","Carpenter",38.2,41.6,0,0,FALSE,"high"
"217",217,2014-03-07,10,5,"Brent",5,TRUE,68.355,"Maria","Carter",46.1,35.4,0,0,FALSE,"high"
"218",218,2014-03-07,10,5,"Westminster",3,FALSE,43.97,"Maria","Carpenter",38.6,40.9,0,0,FALSE,"high"
