"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"11","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1295,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",1,"car or other",25,"none","rent",1,"skilled employee/official",1,"no","yes","bad"
"12","... < 0 DM",48,"existing credits paid back duly till now","others",4308,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes","bad"
"13","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1567,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",1,"car or other",22,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"14","... < 0 DM",24,"critical account/other credits existing","car (new)",1199,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"no","yes","bad"
"15","... < 0 DM",15,"existing credits paid back duly till now","car (new)",1403,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"no","yes","good"
"16","... < 0 DM",24,"existing credits paid back duly till now","domestic appliances",1282,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"no","yes","bad"
"17","no checking account",24,"critical account/other credits existing","domestic appliances",2424,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",53,"none","own",2,"skilled employee/official",1,"no","yes","good"
"18","... < 0 DM",30,"no credits taken/all credits paid back duly","others",8072,"unknown/no savings account","... < 1 year",2,"male : single","none",3,"car or other",25,"bank","own",3,"skilled employee/official",1,"no","yes","good"
"19","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (used)",12579,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"unknown/no property",44,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"20","no checking account",24,"existing credits paid back duly till now","domestic appliances",3430,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",2,"car or other",31,"none","own",1,"skilled employee/official",2,"yes","yes","good"
"21","no checking account",9,"critical account/other credits existing","car (new)",2134,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",48,"none","own",3,"skilled employee/official",1,"yes","yes","good"
"22","... < 0 DM",6,"existing credits paid back duly till now","domestic appliances",2647,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",3,"real estate",44,"none","rent",1,"skilled employee/official",2,"no","yes","good"
"23","... < 0 DM",10,"critical account/other credits existing","car (new)",2241,"... < 100 DM","... < 1 year",1,"male : single","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"no","no","good"
"24","0 <= ... < 200 DM",12,"critical account/other credits existing","car (used)",1804,"100 <= ... < 500 DM","... < 1 year",3,"male : single","none",4,"building society savings agreement/life insurance",44,"none","own",1,"skilled employee/official",1,"no","yes","good"
"25","no checking account",10,"critical account/other credits existing","radio/television",2069,"unknown/no savings account","1 <= ... < 4 years",2,"male : married/widowed","none",1,"car or other",26,"none","own",2,"skilled employee/official",1,"no","no","good"
"26","... < 0 DM",6,"existing credits paid back duly till now","radio/television",1374,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes","yes","good"
"27","no checking account",6,"no credits taken/all credits paid back duly","domestic appliances",426,"... < 100 DM","... >= 7 years",4,"male : married/widowed","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"no","yes","good"
"28","... >= 200 DM / salary for at least 1 year",12,"all credits at this bank paid back duly","domestic appliances",409,"... >= 1000 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",3,"real estate",42,"none","rent",2,"skilled employee/official",1,"no","yes","good"
"29","0 <= ... < 200 DM",7,"existing credits paid back duly till now","domestic appliances",2415,"... < 100 DM","1 <= ... < 4 years",3,"male : single","guarantor",2,"real estate",34,"none","own",1,"skilled employee/official",1,"no","yes","good"
"30","... < 0 DM",60,"delay in paying off in the past","others",6836,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",63,"none","own",2,"skilled employee/official",1,"yes","yes","bad"
"31","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",1913,"... >= 1000 DM","... < 1 year",3,"male : married/widowed","none",3,"real estate",36,"bank","own",1,"skilled employee/official",1,"yes","yes","good"
"32","... < 0 DM",24,"existing credits paid back duly till now","radio/television",4020,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",27,"stores","own",1,"skilled employee/official",1,"no","yes","good"
"33","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",30,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"34","no checking account",12,"critical account/other credits existing","others",1264,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"unknown/no property",57,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"35","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","radio/television",1474,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"building society savings agreement/life insurance",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"36","0 <= ... < 200 DM",45,"critical account/other credits existing","domestic appliances",4746,"... < 100 DM","... < 1 year",4,"male : single","none",2,"building society savings agreement/life insurance",25,"none","own",2,"unskilled - resident",1,"no","yes","bad"
"37","no checking account",48,"critical account/other credits existing","retraining",6110,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",3,"unknown/no property",31,"bank","for free",1,"skilled employee/official",1,"yes","yes","good"
"38","... >= 200 DM / salary for at least 1 year",18,"existing credits paid back duly till now","domestic appliances",2100,"... < 100 DM","1 <= ... < 4 years",4,"male : single","co-applicant",2,"real estate",37,"stores","own",1,"skilled employee/official",1,"no","yes","bad"
"39","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","repairs",1225,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"40","0 <= ... < 200 DM",9,"existing credits paid back duly till now","domestic appliances",458,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","good"
"41","no checking account",30,"existing credits paid back duly till now","domestic appliances",2333,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",2,"car or other",30,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","good"
"42","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1158,"500 <= ... < 1000 DM","1 <= ... < 4 years",3,"male : divorced/separated","none",1,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"43","0 <= ... < 200 DM",18,"delay in paying off in the past","education",6204,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes","yes","good"
"44","... < 0 DM",30,"critical account/other credits existing","car (used)",6187,"100 <= ... < 500 DM","4 <= ... < 7 years",1,"male : married/widowed","none",4,"car or other",24,"none","rent",2,"skilled employee/official",1,"no","yes","good"
"45","... < 0 DM",48,"critical account/other credits existing","car (used)",6143,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"unknown/no property",58,"stores","for free",2,"unskilled - resident",1,"no","yes","bad"
"46","no checking account",11,"critical account/other credits existing","car (new)",1393,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","good"
"47","no checking account",36,"existing credits paid back duly till now","domestic appliances",2299,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"no","yes","good"
"48","... < 0 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 <= ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"yes","yes","good"
"49","no checking account",11,"critical account/other credits existing","car (new)",7228,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",4,"building society savings agreement/life insurance",39,"none","own",2,"unskilled - resident",1,"no","yes","good"
"50","no checking account",12,"existing credits paid back duly till now","domestic appliances",2073,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","co-applicant",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes","good"
"51","0 <= ... < 200 DM",24,"delay in paying off in the past","radio/television",2333,"unknown/no savings account","... < 1 year",4,"male : single","none",2,"building society savings agreement/life insurance",29,"bank","own",1,"unskilled - resident",1,"no","yes","good"
"52","0 <= ... < 200 DM",27,"delay in paying off in the past","car (used)",5965,"... < 100 DM","... >= 7 years",1,"male : single","none",2,"car or other",30,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"53","no checking account",12,"existing credits paid back duly till now","domestic appliances",1262,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes","good"
"54","no checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",1,"building society savings agreement/life insurance",31,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"55","0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",2225,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",57,"bank","for free",2,"skilled employee/official",1,"yes","yes","bad"
"56","no checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown/no savings account","1 <= ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"no","yes","good"
"57","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",6468,"unknown/no savings account","unemployed",2,"male : single","none",1,"unknown/no property",52,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"58","no checking account",36,"critical account/other credits existing","domestic appliances",9566,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",31,"stores","own",2,"skilled employee/official",1,"no","yes","good"
"59","... >= 200 DM / salary for at least 1 year",18,"existing credits paid back duly till now","car (new)",1961,"... < 100 DM","... >= 7 years",3,"female : divorced/separated/married","none",2,"car or other",23,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","good"
"60","... < 0 DM",36,"critical account/other credits existing","radio/television",6229,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","co-applicant",4,"unknown/no property",23,"none","rent",2,"unskilled - resident",1,"yes","yes","bad"
"61","0 <= ... < 200 DM",9,"existing credits paid back duly till now","others",1391,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",1,"real estate",27,"bank","own",1,"skilled employee/official",1,"yes","yes","good"
"62","0 <= ... < 200 DM",15,"critical account/other credits existing","domestic appliances",1537,"unknown/no savings account","... >= 7 years",4,"male : single","guarantor",4,"real estate",50,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"63","0 <= ... < 200 DM",36,"no credits taken/all credits paid back duly","others",1953,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",61,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"64","0 <= ... < 200 DM",48,"no credits taken/all credits paid back duly","others",14421,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"yes","yes","bad"
"65","no checking account",24,"existing credits paid back duly till now","domestic appliances",3181,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"66","no checking account",27,"existing credits paid back duly till now","education",5190,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",48,"none","own",4,"skilled employee/official",2,"yes","yes","good"
"67","no checking account",12,"existing credits paid back duly till now","domestic appliances",2171,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes","good"
"68","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1007,"... >= 1000 DM","1 <= ... < 4 years",4,"male : married/widowed","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes","good"
"69","no checking account",36,"existing credits paid back duly till now","retraining",1819,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",37,"stores","for free",1,"skilled employee/official",1,"yes","yes","bad"
"70","no checking account",36,"existing credits paid back duly till now","domestic appliances",2394,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes","good"
"71","no checking account",36,"existing credits paid back duly till now","car (used)",8133,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"bank","own",1,"skilled employee/official",1,"no","yes","good"
"72","no checking account",7,"critical account/other credits existing","domestic appliances",730,"unknown/no savings account","... >= 7 years",4,"male : single","none",2,"building society savings agreement/life insurance",46,"none","rent",2,"unskilled - resident",1,"yes","yes","good"
"73","... < 0 DM",8,"critical account/other credits existing","furniture/equipment",1164,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",51,"bank","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","good"
"74","0 <= ... < 200 DM",42,"critical account/other credits existing","others",5954,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"no","yes","good"
"75","... < 0 DM",36,"existing credits paid back duly till now","retraining",1977,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"unknown/no property",40,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"76","... < 0 DM",12,"critical account/other credits existing","car (used)",1526,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",66,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","good"
"77","... < 0 DM",42,"existing credits paid back duly till now","domestic appliances",3965,"... < 100 DM","... < 1 year",4,"male : single","none",3,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"78","0 <= ... < 200 DM",11,"delay in paying off in the past","domestic appliances",4771,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"building society savings agreement/life insurance",51,"none","own",1,"skilled employee/official",1,"no","yes","good"
"79","no checking account",54,"no credits taken/all credits paid back duly","car (used)",9436,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",2,"building society savings agreement/life insurance",39,"none","own",1,"unskilled - resident",2,"no","yes","good"
"80","0 <= ... < 200 DM",30,"existing credits paid back duly till now","radio/television",3832,"... < 100 DM","... < 1 year",2,"male : married/widowed","none",1,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"no","yes","good"
"81","no checking account",24,"existing credits paid back duly till now","domestic appliances",5943,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",1,"car or other",44,"none","own",2,"skilled employee/official",1,"yes","yes","bad"
"82","no checking account",15,"existing credits paid back duly till now","domestic appliances",1213,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",47,"stores","own",1,"skilled employee/official",1,"yes","yes","good"
"83","no checking account",18,"existing credits paid back duly till now","others",1568,"100 <= ... < 500 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"84","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",1755,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes","yes","good"
"85","... < 0 DM",10,"existing credits paid back duly till now","domestic appliances",2315,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"no","yes","good"
"86","no checking account",12,"critical account/other credits existing","others",1412,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"real estate",29,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"87","0 <= ... < 200 DM",18,"critical account/other credits existing","radio/television",1295,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes","good"
"88","0 <= ... < 200 DM",36,"existing credits paid back duly till now","retraining",12612,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","none",4,"unknown/no property",47,"none","for free",1,"skilled employee/official",2,"yes","yes","bad"
"89","... < 0 DM",18,"existing credits paid back duly till now","car (new)",2249,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","good"
"90","... < 0 DM",12,"no credits taken/all credits paid back duly","education",1108,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes","bad"
"91","no checking account",12,"critical account/other credits existing","domestic appliances",618,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",56,"none","own",1,"skilled employee/official",1,"no","yes","good"
"92","... < 0 DM",12,"critical account/other credits existing","car (used)",1409,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"real estate",54,"none","own",1,"skilled employee/official",1,"no","yes","good"
"93","no checking account",12,"critical account/other credits existing","domestic appliances",797,"unknown/no savings account","... >= 7 years",4,"female : divorced/separated/married","none",3,"building society savings agreement/life insurance",33,"bank","own",1,"unskilled - resident",2,"no","yes","bad"
"94","... >= 200 DM / salary for at least 1 year",24,"critical account/other credits existing","radio/television",3617,"unknown/no savings account","... >= 7 years",4,"male : single","co-applicant",4,"unknown/no property",20,"none","rent",2,"skilled employee/official",1,"no","yes","good"
"95","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1318,"... >= 1000 DM","... >= 7 years",4,"male : single","none",4,"real estate",54,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"96","0 <= ... < 200 DM",54,"no credits taken/all credits paid back duly","others",15945,"... < 100 DM","... < 1 year",3,"male : single","none",4,"unknown/no property",58,"none","rent",1,"skilled employee/official",1,"yes","yes","bad"
"97","no checking account",12,"critical account/other credits existing","retraining",2012,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",2,"car or other",61,"none","own",1,"skilled employee/official",1,"no","yes","good"
"98","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",2622,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes","good"
"99","0 <= ... < 200 DM",36,"critical account/other credits existing","domestic appliances",2337,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"no","yes","good"
"100","0 <= ... < 200 DM",20,"delay in paying off in the past","car (used)",7057,"unknown/no savings account","4 <= ... < 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",36,"bank","rent",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","good"
"101","no checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 <= ... < 500 DM","... >= 7 years",4,"male : married/widowed","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"102","0 <= ... < 200 DM",36,"existing credits paid back duly till now","domestic appliances",2323,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes","good"
"103","no checking account",6,"delay in paying off in the past","domestic appliances",932,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","good"
"104","0 <= ... < 200 DM",9,"critical account/other credits existing","radio/television",1919,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"car or other",35,"none","rent",1,"skilled employee/official",1,"yes","yes","good"
"105","no checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown/no savings account","... < 1 year",2,"male : married/widowed","none",4,"car or other",26,"none","rent",1,"skilled employee/official",1,"yes","yes","good"
"106","0 <= ... < 200 DM",24,"critical account/other credits existing","furniture/equipment",11938,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",3,"car or other",39,"none","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","bad"
"107","no checking account",18,"all credits at this bank paid back duly","car (new)",6458,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",39,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","bad"
"108","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",6078,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"no","yes","good"
"109","... < 0 DM",24,"existing credits paid back duly till now","radio/television",7721,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"none","own",1,"skilled employee/official",1,"yes","no","good"
"110","0 <= ... < 200 DM",14,"existing credits paid back duly till now","others",1410,"500 <= ... < 1000 DM","... >= 7 years",1,"male : married/widowed","none",2,"real estate",35,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"111","0 <= ... < 200 DM",6,"delay in paying off in the past","others",1449,"100 <= ... < 500 DM","... >= 7 years",1,"male : divorced/separated","none",2,"car or other",31,"bank","own",2,"skilled employee/official",2,"no","yes","good"
"112","... >= 200 DM / salary for at least 1 year",15,"existing credits paid back duly till now","retraining",392,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","rent",1,"skilled employee/official",1,"yes","yes","good"
"113","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",6260,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"114","no checking account",36,"critical account/other credits existing","car (new)",7855,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",25,"stores","own",2,"skilled employee/official",1,"yes","yes","bad"
"115","... < 0 DM",12,"existing credits paid back duly till now","domestic appliances",1680,"500 <= ... < 1000 DM","... >= 7 years",3,"male : married/widowed","none",1,"real estate",35,"none","own",1,"skilled employee/official",1,"no","yes","good"
"116","no checking account",48,"critical account/other credits existing","domestic appliances",3578,"unknown/no savings account","... >= 7 years",4,"male : single","none",1,"real estate",47,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"117","... < 0 DM",42,"existing credits paid back duly till now","domestic appliances",7174,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"118","... < 0 DM",10,"critical account/other credits existing","radio/television",2132,"unknown/no savings account","... < 1 year",2,"female : divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"skilled employee/official",1,"no","no","good"
"119","... < 0 DM",33,"critical account/other credits existing","radio/television",4281,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"car or other",23,"none","own",2,"skilled employee/official",1,"no","yes","bad"
"120","0 <= ... < 200 DM",12,"critical account/other credits existing","car (new)",2366,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"male : divorced/separated","none",3,"car or other",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"121","... < 0 DM",21,"existing credits paid back duly till now","domestic appliances",1835,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee/official",1,"yes","yes","bad"
"122","no checking account",24,"critical account/other credits existing","car (used)",3868,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other",41,"none","rent",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"123","no checking account",12,"existing credits paid back duly till now","radio/television",1768,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"124","... >= 200 DM / salary for at least 1 year",10,"critical account/other credits existing","car (new)",781,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",63,"none","for free",2,"skilled employee/official",1,"yes","yes","good"
"125","0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",1924,"unknown/no savings account","... < 1 year",4,"female : divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee/official",1,"no","yes","bad"
"126","... < 0 DM",12,"critical account/other credits existing","car (new)",2121,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/life insurance",30,"none","own",2,"skilled employee/official",1,"no","yes","good"
"127","... < 0 DM",12,"existing credits paid back duly till now","domestic appliances",701,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"no","yes","good"
