,Count,Month
432,42800,2012 cze
433,42600,2012 lip
434,44200,2012 sie
435,37200,2012 wrz
436,52800,2012 paź
437,52500,2012 lis
438,46000,2012 gru
439,54900,2013 sty
440,56100,2013 lut
441,50000,2013 mar
442,46900,2013 kwi
443,54400,2013 maj
444,45700,2013 cze
445,51300,2013 lip
446,58400,2013 sie
447,51700,2013 wrz
448,61000,2013 paź
449,60100,2013 lis
450,53600,2013 gru
451,59500,2014 sty
452,62600,2014 lut
453,62800,2014 mar
454,56300,2014 kwi
455,64900,2014 maj
456,48300,2014 cze
457,66200,2014 lip
458,65000,2014 sie
459,65900,2014 wrz
460,78400,2014 paź
461,76800,2014 lis
462,70300,2014 gru
463,71200,2015 sty
464,76100,2015 lut
465,72000,2015 mar
466,66300,2015 kwi
467,66100,2015 maj
468,56600,2015 cze
469,56900,2015 lip
470,49200,2015 sie
471,51900,2015 wrz
472,61900,2015 paź
473,64900,2015 lis
474,52600,2015 gru
475,52700,2016 sty
476,61200,2016 lut
477,51900,2016 mar
478,46000,2016 kwi
479,50300,2016 maj
480,38400,2016 cze
481,34400,2016 lip
482,43800,2016 sie
483,40800,2016 wrz
484,41500,2016 paź
485,53500,2016 lis
486,42600,2016 gru
487,44100,2017 sty
488,49300,2017 lut
489,46500,2017 mar
490,40600,2017 kwi
491,46300,2017 maj
492,39800,2017 cze
493,43800,2017 lip
494,50400,2017 sie
495,46000,2017 wrz
496,48300,2017 paź
497,50600,2017 lis
498,45500,2017 gru
499,48800,2018 sty
500,54200,2018 lut
501,46500,2018 mar
502,43300,2018 kwi
503,56900,2018 maj
504,49900,2018 cze
505,54000,2018 lip
506,46600,2018 sie
507,43300,2018 wrz
508,54100,2018 paź
509,55100,2018 lis
510,44300,2018 gru
